epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5922.51,2.80817,0.51244,0.81698,1.7553,0.00999217,0.00333072,0.00999217,0.00333072,0.00999217,0.00333072,0.00999217,0.00333072
2,10438,1.79476,0.57607,0.85257,1.52546,0.0192005,0.00640016,0.0192005,0.00640016,0.0192005,0.00640016,0.0192005,0.00640016
3,13867.8,1.74983,0.53576,0.82753,1.70669,0.0276168,0.0092056,0.0276168,0.0092056,0.0276168,0.0092056,0.0276168,0.0092056
4,17259.1,1.7599,0.57324,0.84365,1.56421,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
5,20715.6,1.61381,0.59357,0.85377,1.49556,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
6,24067.5,1.52667,0.60952,0.86364,1.44313,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
7,27412.1,1.45432,0.62221,0.87427,1.37586,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
8,30810.3,1.38642,0.63482,0.87985,1.32507,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
9,34170.2,1.32253,0.6506,0.88336,1.30213,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
10,37534.3,1.27924,0.65738,0.89022,1.25696,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
11,40954.8,1.22183,0.66364,0.89091,1.24285,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
12,44352,1.18679,0.66587,0.89331,1.22655,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
13,47763.4,1.13513,0.67762,0.89743,1.20392,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
14,51188,1.0889,0.6825,0.89854,1.19704,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
15,54618.6,1.0345,0.68954,0.90352,1.17015,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
16,58097.6,0.97881,0.69588,0.90626,1.16226,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
17,61487.4,0.93524,0.69863,0.9072,1.14922,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
18,64838.8,0.88282,0.70103,0.90609,1.14453,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
19,68188.1,0.83638,0.70455,0.90635,1.14197,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
20,71540.6,0.78916,0.70515,0.9078,1.14182,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
21,74896.7,0.73858,0.70866,0.90978,1.14035,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
22,78225.8,0.69075,0.70978,0.91055,1.13689,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
23,81578.9,0.65283,0.71081,0.91123,1.14493,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
24,84914,0.61142,0.71329,0.91166,1.13909,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
25,88246.2,0.5756,0.71269,0.91252,1.14274,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
